Date,Market,Result,Pip,Trend,Price 13:00,Price 16:00,Open Price
05-15-2019,XAUUSD,Loss,-125,Uptrend,,,
05-15-2019,XAUUSD,Profit,136,Uptrend,,,
05-22-2019,XAUUSD,Profit,66,Uptrend,,,
05-23-2019,XAUUSD,Profit,77,Uptrend,,,
05-23-2019,XAUUSD,Profit,130,Uptrend,,,
05-24-2019,XAUUSD,Profit,97,Uptrend,,,
05-27-2019,XAUUSD,Profit,23,Uptrend,,,
05-27-2019,XAUUSD,Loss,-14,Uptrend,,,
05-29-2019,XAUUSD,Profit,350,Uptrend,,,
05-31-2019,XAUUSD,Loss,-63,Uptrend,,,
05-31-2019,XAUUSD,Profit,235,Uptrend,,,
06-03-2019,XAUUSD,Profit,260,Uptrend,,,
06-04-2019,XAUUSD,Loss,-154,Uptrend,,,
06-04-2019,XAUUSD,Profit,99,Uptrend,,,
06-06-2019,XAUUSD,Profit,239,Uptrend,,,
06-12-2019,XAUUSD,Profit,297,Uptrend,,,
06-13-2019,XAUUSD,Profit,0,Uptrend,,,
06-13-2019,XAUUSD,Profit,197,Uptrend,,,
06-14-2019,XAUUSD,Loss,-57,Uptrend,,,
06-14-2019,XAUUSD,Loss,-84,Uptrend,,,
06-18-2019,XAUUSD,Loss,-316,Uptrend,,,
06-20-2019,XAUUSD,Profit,487,Uptrend,,,
06-21-2019,XAUUSD,Profit,193,Uptrend,,,
06-25-2019,XAUUSD,Loss,-7,Uptrend,,,
07-03-2019,XAUUSD,Loss,-142,Uptrend,,,
07-04-2019,XAUUSD,Profit,50,Uptrend,,,
07-11-2019,XAUUSD,Loss,-168,Uptrend,,,
07-16-2019,XAUUSD,Loss,-141,Uptrend,,,
07-16-2019,XAUUSD,Loss,-122,Uptrend,,,
07-18-2019,XAUUSD,Profit,4,Uptrend,,,
07-26-2019,XAUUSD,Loss,-198,Uptrend,,,
07-29-2019,XAUUSD,Loss,-111,Uptrend,,,
07-29-2019,XAUUSD,Loss,-45,Uptrend,,,
07-30-2019,XAUUSD,Loss,-180,Uptrend,,,
08-02-2019,XAUUSD,Profit,499,Uptrend,,,
08-05-2019,XAUUSD,Profit,6,Uptrend,,,
08-06-2019,XAUUSD,Profit,541,Uptrend,,,
08-08-2019,XAUUSD,Profit,30,Uptrend,,,
08-09-2019,XAUUSD,Loss,-361,Uptrend,,,
08-09-2019,XAUUSD,Loss,-299,Uptrend,,,
08-12-2019,XAUUSD,Loss,-19,Uptrend,,,
08-15-2019,XAUUSD,Loss,-128,Uptrend,,,
08-15-2019,XAUUSD,Loss,-3,Uptrend,,,
08-20-2019,XAUUSD,Loss,-214,Uptrend,,,
08-20-2019,XAUUSD,Profit,46,Uptrend,,,
08-26-2019,XAUUSD,Loss,-127,Uptrend,,,
08-28-2019,XAUUSD,Loss,-97,Uptrend,,,
09-02-2019,XAUUSD,Profit,68,Uptrend,,,
09-03-2019,XAUUSD,Profit,1208,Uptrend,,,
09-04-2019,XAUUSD,Loss,-50,Uptrend,,,
09-05-2019,XAUUSD,Loss,-291,Uptrend,,,
09-05-2019,XAUUSD,Profit,120,Uptrend,,,
09-16-2019,XAUUSD,Profit,209,Uptrend,,,
09-16-2019,XAUUSD,Loss,-132,Uptrend,,,
09-17-2019,XAUUSD,Loss,-271,Uptrend,,,
09-17-2019,XAUUSD,Profit,90,Uptrend,,,
09-18-2019,XAUUSD,Profit,324,Uptrend,,,
09-19-2019,XAUUSD,Loss,-158,Uptrend,,,
09-24-2019,XAUUSD,Loss,-71,Uptrend,,,
10-03-2019,XAUUSD,Profit,929,Uptrend,,,
10-03-2019,XAUUSD,Loss,-390,Uptrend,,,
10-04-2019,XAUUSD,Profit,314,Uptrend,,,
10-10-2019,XAUUSD,Profit,136,Uptrend,,,
10-15-2019,XAUUSD,Loss,-153,Uptrend,,,
10-17-2019,XAUUSD,Loss,-124,Uptrend,,,
10-23-2019,XAUUSD,Loss,-94,Uptrend,,,
10-24-2019,XAUUSD,Loss,-146,Uptrend,,,
10-30-2019,XAUUSD,Profit,59,Uptrend,,,
10-31-2019,XAUUSD,Profit,146,Uptrend,,,
11-01-2019,XAUUSD,Loss,-99,Uptrend,,,
11-01-2019,XAUUSD,Loss,-73,Uptrend,,,
11-11-2019,XAUUSD,Loss,-211,Uptrend,,,
11-14-2019,XAUUSD,Loss,-112,Uptrend,,,
11-15-2019,XAUUSD,Profit,63,Uptrend,,,
11-15-2019,XAUUSD,Profit,102,Uptrend,,,
11-20-2019,XAUUSD,Loss,-120,Uptrend,,,
11-22-2019,XAUUSD,Loss,-94,Uptrend,,,
12-09-2019,XAUUSD,Loss,-70,Uptrend,,,
12-09-2019,XAUUSD,Loss,-67,Uptrend,,,
12-10-2019,XAUUSD,Loss,-116,Uptrend,,,
12-12-2019,XAUUSD,Profit,741,Uptrend,,,
12-12-2019,XAUUSD,Loss,-187,Uptrend,,,
12-13-2019,XAUUSD,Profit,402,Uptrend,,,
12-17-2019,XAUUSD,Loss,-90,Uptrend,,,
12-18-2019,XAUUSD,Profit,189,Uptrend,,,
12-18-2019,XAUUSD,Loss,-40,Uptrend,,,
12-20-2019,XAUUSD,Loss,-112,Uptrend,,,
12-20-2019,XAUUSD,Loss,-104,Uptrend,,,
12-24-2019,XAUUSD,Loss,-91,Uptrend,,,
12-24-2019,XAUUSD,Profit,214,Uptrend,,,
12-26-2019,XAUUSD,Profit,161,Uptrend,,,
12-27-2019,XAUUSD,Profit,16,Uptrend,,,
12-31-2019,XAUUSD,Loss,-60,Uptrend,,,
12-31-2019,XAUUSD,Profit,174,Uptrend,,,
01-03-2020,XAUUSD,Loss,-51,Uptrend,,,
01-08-2020,XAUUSD,Profit,222,Uptrend,,,
01-16-2020,XAUUSD,Loss,-104,Uptrend,,,
01-17-2020,XAUUSD,Profit,323,Uptrend,,,
01-20-2020,XAUUSD,Profit,30,Uptrend,,,
01-31-2020,XAUUSD,Loss,-73,Uptrend,,,
02-06-2020,XAUUSD,Profit,17,Uptrend,,,
02-07-2020,XAUUSD,Loss,-103,Uptrend,,,
02-07-2020,XAUUSD,Profit,329,Uptrend,,,
02-10-2020,XAUUSD,Loss,-7,Uptrend,,,
02-13-2020,XAUUSD,Loss,-46,Uptrend,,,
02-13-2020,XAUUSD,Loss,-148,Uptrend,,,
02-14-2020,XAUUSD,Loss,-41,Uptrend,,,
02-18-2020,XAUUSD,Profit,1159,Uptrend,,,
02-19-2020,XAUUSD,Loss,-150,Uptrend,,,
02-19-2020,XAUUSD,Loss,-208,Uptrend,,,
02-19-2020,XAUUSD,Profit,76,Uptrend,,,
02-20-2020,XAUUSD,Loss,-256,Uptrend,,,
02-21-2020,XAUUSD,Profit,212,Uptrend,,,
02-24-2020,XAUUSD,Loss,-313,Uptrend,,,
03-02-2020,XAUUSD,Loss,-33,Uptrend,,,
03-04-2020,XAUUSD,Loss,-133,Uptrend,,,
03-04-2020,XAUUSD,Loss,-20,Uptrend,,,
03-05-2020,XAUUSD,Loss,-37,Uptrend,,,
03-09-2020,XAUUSD,Loss,-366,Uptrend,,,
03-11-2020,XAUUSD,Loss,-155,Uptrend,,,
03-20-2020,XAUUSD,Loss,-411,Uptrend,,,
04-06-2020,XAUUSD,Profit,413,Uptrend,,,
04-07-2020,XAUUSD,Profit,484,Uptrend,,,
04-08-2020,XAUUSD,Loss,-312,Uptrend,,,
04-09-2020,XAUUSD,Loss,-287,Uptrend,,,
04-09-2020,XAUUSD,Loss,-247,Uptrend,,,
04-09-2020,XAUUSD,Loss,-339,Uptrend,,,
04-09-2020,XAUUSD,Profit,151,Uptrend,,,
04-13-2020,XAUUSD,Loss,-353,Uptrend,,,
04-13-2020,XAUUSD,Profit,1397,Uptrend,,,
04-23-2020,XAUUSD,Loss,-283,Uptrend,,,
04-23-2020,XAUUSD,Loss,-79,Uptrend,,,
04-23-2020,XAUUSD,Loss,-118,Uptrend,,,
05-04-2020,XAUUSD,Profit,301,Uptrend,,,
05-04-2020,XAUUSD,Profit,38,Uptrend,,,
05-08-2020,XAUUSD,Profit,245,Uptrend,,,
05-08-2020,XAUUSD,Loss,-182,Uptrend,,,
05-08-2020,XAUUSD,Loss,-165,Uptrend,,,
05-12-2020,XAUUSD,Profit,168,Uptrend,,,
05-13-2020,XAUUSD,Loss,-41,Uptrend,,,
05-13-2020,XAUUSD,Loss,-66,Uptrend,,,
05-14-2020,XAUUSD,Profit,1058,Uptrend,,,
05-15-2020,XAUUSD,Loss,-38,Uptrend,,,
05-15-2020,XAUUSD,Profit,12,Uptrend,,,
05-18-2020,XAUUSD,Loss,-316,Uptrend,,,
05-20-2020,XAUUSD,Profit,101,Uptrend,,,
05-20-2020,XAUUSD,Loss,-120,Uptrend,,,
05-28-2020,XAUUSD,Loss,-190,Uptrend,,,
05-28-2020,XAUUSD,Loss,-4,Uptrend,,,
05-29-2020,XAUUSD,Loss,-27,Uptrend,,,
06-01-2020,XAUUSD,Profit,103,Uptrend,,,
06-01-2020,XAUUSD,Profit,719,Uptrend,,,
06-02-2020,XAUUSD,Loss,-135,Uptrend,,,
06-09-2020,XAUUSD,Loss,-226,Uptrend,,,
06-10-2020,XAUUSD,Loss,-193,Uptrend,,,
06-12-2020,XAUUSD,Loss,-219,Uptrend,,,
06-16-2020,XAUUSD,Loss,-218,Uptrend,,,
06-19-2020,XAUUSD,Profit,62,Uptrend,,,
06-19-2020,XAUUSD,Profit,158,Uptrend,,,
06-19-2020,XAUUSD,Loss,-222,Uptrend,,,
06-24-2020,XAUUSD,Profit,176,Uptrend,,,
06-29-2020,XAUUSD,Profit,53,Uptrend,,,
06-29-2020,XAUUSD,Loss,-164,Uptrend,,,
07-01-2020,XAUUSD,Profit,512,Uptrend,,,
07-03-2020,XAUUSD,Loss,-122,Uptrend,,,
07-03-2020,XAUUSD,Loss,-59,Uptrend,,,
07-06-2020,XAUUSD,Loss,-1,Uptrend,,,
