YearMonth,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
2017-05,5.0,0.0,5.0,0.2,-267.0,0.15772870662460567,-53.4
2017-06,12.0,0.0,12.0,0.4166666666666667,-108.0,0.8108581436077058,-9.0
2017-07,8.0,0.0,8.0,0.5,1006.0,4.5174825174825175,125.75
2017-08,7.0,0.0,7.0,0.42857142857142855,94.0,1.3122923588039868,13.428571428571429
2017-09,12.0,0.0,12.0,0.5,122.0,1.1945773524720893,10.166666666666666
2017-10,15.0,1.0,14.0,0.2857142857142857,433.0,1.6203438395415473,28.866666666666667
2017-11,6.0,0.0,6.0,0.5,129.0,1.3161764705882353,21.5
2017-12,6.0,0.0,6.0,0.16666666666666666,-793.0,0.1536819637139808,-132.16666666666666
2018-01,8.0,0.0,8.0,0.125,-406.0,0.1680327868852459,-50.75
2018-02,6.0,0.0,6.0,0.6666666666666666,275.0,1.8208955223880596,45.833333333333336
2018-03,4.0,0.0,4.0,0.75,-54.0,0.5939849624060151,-13.5
2018-04,10.0,0.0,10.0,0.1,-929.0,0.15237226277372262,-92.9
2018-05,13.0,0.0,13.0,0.46153846153846156,-133.0,0.8316455696202532,-10.23076923076923
2018-06,8.0,0.0,8.0,0.25,-496.0,0.3168044077134986,-62.0
2018-07,8.0,0.0,8.0,0.625,553.0,2.861952861952862,69.125
2018-08,5.0,0.0,5.0,0.4,-44.0,0.7659574468085106,-8.8
2018-09,8.0,0.0,8.0,0.5,742.0,4.372727272727273,92.75
2018-10,9.0,0.0,9.0,0.1111111111111111,-813.0,0.1267454350161117,-90.33333333333333
2018-11,11.0,0.0,11.0,0.18181818181818182,-232.0,0.6914893617021277,-21.09090909090909
2018-12,6.0,0.0,6.0,0.5,114.0,1.6368715083798884,19.0
2019-01,5.0,0.0,5.0,0.4,-6.0,0.9775280898876404,-1.2
2019-02,12.0,0.0,12.0,0.4166666666666667,805.0,2.311074918566775,67.08333333333333
2019-03,11.0,0.0,11.0,0.36363636363636365,-14.0,0.9803921568627451,-1.2727272727272727
2019-04,12.0,0.0,12.0,0.5,72.0,1.1107692307692307,6.0
2019-05,9.0,0.0,9.0,0.2222222222222222,-159.0,0.7225130890052356,-17.666666666666668
2019-06,3.0,0.0,3.0,0.3333333333333333,-244.0,0.046875,-81.33333333333333
2019-07,7.0,0.0,7.0,0.42857142857142855,1277.0,3.3869158878504675,182.42857142857142
2019-08,5.0,0.0,5.0,0.4,83.0,1.148479427549195,16.6
2019-09,6.0,0.0,6.0,0.3333333333333333,-222.0,0.5225806451612903,-37.0
2019-10,8.0,0.0,8.0,0.375,-564.0,0.345707656612529,-70.5
2019-11,19.0,0.0,19.0,0.2631578947368421,227.0,1.1282485875706214,11.947368421052632
2019-12,4.0,0.0,4.0,0.25,-214.0,0.04888888888888889,-53.5
2020-01,12.0,0.0,12.0,0.25,1018.0,2.0109235352532275,84.83333333333333
2020-02,6.0,0.0,6.0,0.5,302.0,1.9869281045751634,50.333333333333336
2020-03,4.0,0.0,4.0,0.0,-675.0,0.0,-168.75
2020-04,7.0,0.0,7.0,0.14285714285714285,-1043.0,0.08105726872246696,-149.0
2020-05,10.0,0.0,10.0,0.3,177.0,1.2316753926701571,17.7
2020-06,11.0,0.0,11.0,0.5454545454545454,3778.0,4.376228775692582,343.45454545454544
2020-07,2.0,0.0,2.0,0.5,-7.0,0.9629629629629629,-3.5
2020-08,4.0,0.0,4.0,0.5,-306.0,0.5597122302158274,-76.5
2020-09,9.0,0.0,9.0,0.2222222222222222,-560.0,0.6868008948545862,-62.22222222222222
2020-10,9.0,0.0,9.0,0.3333333333333333,-62.0,0.9110473457675753,-6.888888888888889
2020-11,18.0,0.0,18.0,0.3333333333333333,-695.0,0.7156301145662848,-38.611111111111114
2020-12,7.0,0.0,7.0,0.5714285714285714,2607.0,3.382998171846435,372.42857142857144
