entry_time,exit_time,side,entry,exit,final_stop,pips
2023-07-25 14:07:00+00:00,2023-07-25 15:13:00+00:00,long,1958.57996,1961.9620238648208,1961.9620238648208,338.2063864820793
2023-07-28 13:45:00+00:00,2023-07-28 15:53:00+00:00,long,1955.85999,1960.9494968825861,1960.9494968825861,508.95068825861927
2023-07-28 15:57:00+00:00,2023-07-28 16:05:00+00:00,short,1961.089966,1962.0715932057992,1962.0715932057992,-98.16272057992137
2023-08-01 13:31:00+00:00,2023-08-01 13:35:00+00:00,long,1948.089966,1945.0523150375677,1945.0523150375677,-303.7650962432281
2023-08-01 13:52:00+00:00,2023-08-01 14:08:00+00:00,long,1947.88,1946.8746012264662,1946.8746012264662,-100.53987735338978
2023-08-02 13:02:00+00:00,2023-08-02 13:35:00+00:00,short,1944.20996,1946.6979200798503,1946.6979200798503,-248.79600798503816
2023-08-02 15:55:00+00:00,2023-08-02 16:13:00+00:00,long,1936.38,1936.301107941898,1936.301107941898,-7.8892058102155715
2023-08-03 13:35:00+00:00,2023-08-03 13:45:00+00:00,long,1935.76001,1933.535202758083,1933.535202758083,-222.48072419170057
2023-08-03 13:49:00+00:00,2023-08-03 14:00:00+00:00,short,1933.37,1934.9708621189677,1934.9708621189677,-160.08621189678252
2023-08-03 15:48:00+00:00,2023-08-03 16:19:00+00:00,short,1934.53003,1934.841690607128,1934.841690607128,-31.1660607128033
2023-08-07 13:34:00+00:00,2023-08-07 14:11:00+00:00,short,1938.81995,1934.91614952952,1934.91614952952,390.3800470480064
2023-08-07 14:13:00+00:00,2023-08-07 14:44:00+00:00,long,1934.97998,1934.9162394613747,1934.9162394613747,-6.374053862532492
2023-08-08 13:41:00+00:00,2023-08-08 14:51:00+00:00,long,1926.70996,1928.821052261353,1928.821052261353,211.10922613531784
2023-08-08 14:58:00+00:00,2023-08-08 16:19:00+00:00,short,1927.089966,1926.5212659018255,1926.5212659018255,56.87000981745314
2023-08-09 14:06:00+00:00,2023-08-09 14:25:00+00:00,long,1925.85999,1924.227763164347,1924.227763164347,-163.22268356530003
2023-08-09 14:30:00+00:00,2023-08-09 16:07:00+00:00,short,1922.089966,1917.910546283583,1917.910546283583,417.94197164169873
2023-08-10 13:42:00+00:00,2023-08-10 13:50:00+00:00,long,1923.80005,1921.5404058972674,1921.5404058972674,-225.96441027326364
2023-08-10 14:04:00+00:00,2023-08-10 15:27:00+00:00,short,1920.70996,1916.031287308711,1916.031287308711,467.8672691288966
2023-08-10 15:30:00+00:00,2023-08-10 16:15:00+00:00,long,1917.35999,1919.8620960455503,1919.8620960455503,250.2106045550363
2023-08-11 13:41:00+00:00,2023-08-11 15:15:00+00:00,long,1916.55005,1917.7714485641063,1917.7714485641063,122.13985641062663
2023-08-14 13:19:00+00:00,2023-08-14 14:12:00+00:00,short,1907.88,1906.3747959384355,1906.3747959384355,150.52040615646547
2023-08-14 14:15:00+00:00,2023-08-14 14:46:00+00:00,long,1908.83997,1908.927624250393,1908.927624250393,8.765425039291586
2023-08-15 15:18:00+00:00,2023-08-15 17:18:00+00:00,short,1907.69995,1904.679886145934,1904.679886145934,302.00638540659384
2023-08-16 13:27:00+00:00,2023-08-16 13:56:00+00:00,long,1903.68005,1903.5927581694434,1903.5927581694434,-8.729183055652356
2023-08-18 13:37:00+00:00,2023-08-18 13:43:00+00:00,short,1891.56995,1893.9998811434355,1893.9998811434355,-242.99311434353967
2023-08-18 13:46:00+00:00,2023-08-18 14:14:00+00:00,long,1893.88,1892.042532512713,1892.042532512713,-183.74674872870855
2023-08-18 14:43:00+00:00,2023-08-18 14:59:00+00:00,short,1892.12,1893.9309468454126,1893.9309468454126,-181.09468454126727
2023-09-05 13:56:00+00:00,2023-09-05 14:57:00+00:00,short,1927.60999,1927.5414216209492,1927.5414216209492,6.856837905070279
2023-09-05 15:26:00+00:00,2023-09-05 16:10:00+00:00,short,1926.63,1927.5750141398285,1927.5750141398285,-94.50141398283449
2023-09-06 13:38:00+00:00,2023-09-06 14:00:00+00:00,long,1924.80005,1925.763317682786,1925.763317682786,96.32676827859541
2023-09-07 13:53:00+00:00,2023-09-07 14:39:00+00:00,short,1919.42004,1919.3090678798023,1919.3090678798023,11.097212019762992
2023-09-07 14:46:00+00:00,2023-09-07 14:53:00+00:00,long,1921.18005,1919.0473617405742,1919.0473617405742,-213.26882594257768
2023-09-08 13:31:00+00:00,2023-09-08 13:45:00+00:00,long,1922.58997,1922.2718484065688,1922.2718484065688,-31.812159343121493
2023-09-08 14:56:00+00:00,2023-09-08 16:49:00+00:00,short,1924.90002,1918.891324276505,1918.891324276505,600.8695723495066
2023-09-12 13:33:00+00:00,2023-09-12 13:45:00+00:00,long,1909.73999,1908.7317144114522,1908.7317144114522,-100.82755885478036
2023-09-12 14:31:00+00:00,2023-09-12 15:21:00+00:00,long,1912.81006,1912.1407815682044,1912.1407815682044,-66.92784317956466
2023-09-14 14:26:00+00:00,2023-09-14 15:25:00+00:00,long,1904.13,1908.7008807668692,1908.7008807668692,457.0880766869095
2023-09-14 15:27:00+00:00,2023-09-14 15:59:00+00:00,short,1908.88,1907.9803877095635,1907.9803877095635,89.96122904366075
2023-09-21 14:47:00+00:00,2023-09-21 16:22:00+00:00,short,1919.45996,1918.2636365562264,1918.2636365562264,119.63234437735082
2023-09-22 13:53:00+00:00,2023-09-22 14:38:00+00:00,short,1925.55005,1928.26303737513,1928.26303737513,-271.2987375129842
2023-09-22 14:41:00+00:00,2023-09-22 15:04:00+00:00,long,1927.67004,1926.9291528697047,1926.9291528697047,-74.08871302952775
2023-09-25 13:17:00+00:00,2023-09-25 13:52:00+00:00,short,1924.34998,1924.8140071802366,1924.8140071802366,-46.40271802365987
2023-09-25 13:54:00+00:00,2023-09-25 14:05:00+00:00,long,1926.27002,1924.1533638542687,1924.1533638542687,-211.66561457312127
2023-09-25 14:10:00+00:00,2023-09-25 15:17:00+00:00,short,1922.18994,1918.6402371569852,1918.6402371569852,354.97028430147566
2023-09-26 13:12:00+00:00,2023-09-26 14:00:00+00:00,short,1906.38,1907.4725449024984,1907.4725449024984,-109.25449024982754
2023-09-26 15:14:00+00:00,2023-09-26 15:50:00+00:00,long,1904.13,1902.8822995838434,1902.8822995838434,-124.77004161567038
2023-09-26 15:52:00+00:00,2023-09-26 16:14:00+00:00,short,1902.66003,1902.1725034110866,1902.1725034110866,48.752658891339706
2023-09-27 13:25:00+00:00,2023-09-27 13:59:00+00:00,short,1889.82996,1887.2969890698316,1887.2969890698316,253.29709301684034
2023-09-28 13:09:00+00:00,2023-09-28 13:17:00+00:00,long,1875.45996,1873.0184193159969,1873.0184193159969,-244.154068400303
2023-09-28 13:45:00+00:00,2023-09-28 14:07:00+00:00,short,1873.19995,1875.4773905145225,1875.4773905145225,-227.74405145225955
2023-09-28 14:10:00+00:00,2023-09-28 14:17:00+00:00,long,1876.28003,1872.9540559394402,1872.9540559394402,-332.59740605597017
2023-09-28 15:27:00+00:00,2023-09-28 16:48:00+00:00,long,1861.27002,1864.235792282464,1864.235792282464,296.57722824640587
2023-09-29 13:29:00+00:00,2023-09-29 15:53:00+00:00,short,1874.79004,1855.2447280951558,1855.2447280951558,1954.5311904844311
2023-09-29 15:57:00+00:00,2023-09-29 16:15:00+00:00,long,1855.54004,1853.0481473763955,1853.0481473763955,-249.1892623604599
2023-10-02 13:10:00+00:00,2023-10-02 13:20:00+00:00,long,1837.73999,1835.9138804401898,1835.9138804401898,-182.61095598102202
2023-10-02 13:30:00+00:00,2023-10-02 13:42:00+00:00,short,1834.33997,1836.026828735732,1836.026828735732,-168.6858735731903
