YearMonth,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
2017-05,5.0,0.0,5.0,0.6,954.0,5.336363636363636,190.8
2017-06,11.0,0.0,11.0,0.36363636363636365,258.0,1.410174880763116,23.454545454545453
2017-07,6.0,0.0,6.0,0.6666666666666666,1182.0,25.122448979591837,197.0
2017-08,3.0,0.0,3.0,0.0,-323.0,0.0,-107.66666666666667
2017-09,8.0,0.0,8.0,0.375,-242.0,0.563963963963964,-30.25
2017-10,8.0,0.0,8.0,0.5,279.0,1.781512605042017,34.875
2017-11,9.0,0.0,9.0,0.4444444444444444,920.0,2.533333333333333,102.22222222222223
2017-12,10.0,0.0,10.0,0.3,-151.0,0.7264492753623188,-15.1
2018-01,7.0,0.0,7.0,0.0,-821.0,0.0,-117.28571428571429
2018-02,9.0,0.0,9.0,0.3333333333333333,-584.0,0.2445019404915912,-64.88888888888889
2018-03,9.0,0.0,9.0,0.4444444444444444,153.0,1.3347921225382933,17.0
2018-04,9.0,0.0,9.0,0.0,-767.0,0.0,-85.22222222222223
2018-05,11.0,0.0,11.0,0.18181818181818182,-134.0,0.7994011976047904,-12.181818181818182
2018-06,10.0,0.0,10.0,0.5,-119.0,0.7307692307692307,-11.9
2018-07,10.0,0.0,10.0,0.3,-228.0,0.5785582255083179,-22.8
2018-08,14.0,0.0,14.0,0.42857142857142855,474.0,1.8810408921933086,33.857142857142854
2018-09,6.0,0.0,6.0,0.16666666666666666,-383.0,0.1600877192982456,-63.833333333333336
2018-10,12.0,0.0,12.0,0.3333333333333333,-135.0,0.7893915756630265,-11.25
2018-11,11.0,0.0,11.0,0.36363636363636365,326.0,1.6906779661016949,29.636363636363637
2018-12,5.0,0.0,5.0,0.2,-337.0,0.1976190476190476,-67.4
2019-01,6.0,0.0,6.0,0.16666666666666666,-321.0,0.373046875,-53.5
2019-02,10.0,0.0,10.0,0.3,-85.0,0.8615635179153095,-8.5
2019-03,15.0,0.0,15.0,0.3333333333333333,499.0,1.4681050656660413,33.266666666666666
2019-04,10.0,0.0,10.0,0.6,592.0,3.3492063492063493,59.2
2019-05,9.0,0.0,9.0,0.2222222222222222,-413.0,0.3713850837138508,-45.888888888888886
2019-06,3.0,0.0,3.0,0.3333333333333333,-20.0,0.9163179916317992,-6.666666666666667
2019-07,7.0,0.0,7.0,0.42857142857142855,89.0,1.2293814432989691,12.714285714285714
2019-08,4.0,0.0,4.0,0.25,-604.0,0.013071895424836602,-151.0
2019-09,6.0,0.0,6.0,0.3333333333333333,611.0,1.7753807106598984,101.83333333333333
2019-10,9.0,0.0,9.0,0.3333333333333333,104.0,1.1386666666666667,11.555555555555555
2019-11,14.0,0.0,14.0,0.5714285714285714,2335.0,4.532526475037821,166.78571428571428
2019-12,3.0,0.0,3.0,0.3333333333333333,-164.0,0.07865168539325842,-54.666666666666664
2020-01,8.0,0.0,8.0,0.125,-1379.0,0.0028922631959508315,-172.375
2020-02,7.0,0.0,7.0,0.7142857142857143,4223.0,20.108597285067873,603.2857142857143
2020-03,1.0,0.0,1.0,1.0,532.0,inf,532.0
2020-04,9.0,0.0,9.0,0.4444444444444444,1024.0,2.1976608187134503,113.77777777777777
2020-05,7.0,0.0,7.0,0.5714285714285714,359.0,1.5063469675599437,51.285714285714285
2020-06,9.0,0.0,9.0,0.4444444444444444,134.0,1.1587677725118484,14.88888888888889
2020-07,7.0,0.0,7.0,0.0,-1073.0,0.0,-153.28571428571428
2020-08,7.0,0.0,7.0,0.42857142857142855,553.0,1.5625635808748728,79.0
2020-09,10.0,0.0,10.0,0.4,-1250.0,0.29017603634298694,-125.0
2020-10,11.0,0.0,11.0,0.36363636363636365,-435.0,0.640495867768595,-39.54545454545455
2020-11,15.0,0.0,15.0,0.2,-1112.0,0.5208961654459284,-74.13333333333334
