feature,bin,count,win_rate,pf,avg_pips,is_secondary
tf_1h_up,"(-0.001, 1.0]",1269.0,0.36879432624113473,1.194347603636263,18.739763117910123,False
tf_15m_up,"(-0.001, 1.0]",1269.0,0.36879432624113473,1.194347603636263,18.739763117910123,False
range,"(140.043, 205.834]",295.0,0.4033898305084746,1.43311851222716,31.6694653402746,False
range,"(205.834, 252.242]",282.0,0.3120567375886525,0.9988926045307304,-0.0738036991102427,False
range,"(252.242, 415.13]",304.0,0.3684210526315789,1.2821934018138421,33.4854946539541,False
range,"(415.13, 465.79]",161.0,0.39751552795031053,1.0802395704115197,9.759742888397245,False
range,"(465.79, 1757.62]",227.0,0.3744493392070485,1.1028099172187418,11.930267773400992,False
close,"(1215.969, 1267.481]",316.0,0.34177215189873417,1.1537299658977098,10.21870921802235,False
close,"(1267.481, 1292.138]",261.0,0.3793103448275862,1.3147080532891249,23.343170572171854,False
close,"(1292.138, 1762.26]",304.0,0.3684210526315789,1.2821934018138421,33.4854946539541,False
close,"(1762.26, 1768.97]",146.0,0.3835616438356164,1.0520923530653883,5.6718988957340555,False
close,"(1768.97, 3961.51]",242.0,0.384297520661157,1.1149404384549004,14.261951036433098,False
sec_asia_range,"(140.043, 205.834]",295.0,0.4033898305084746,1.43311851222716,31.6694653402746,True
sec_asia_range,"(205.834, 252.242]",282.0,0.3120567375886525,0.9988926045307304,-0.0738036991102427,True
sec_asia_range,"(252.242, 415.13]",304.0,0.3684210526315789,1.2821934018138421,33.4854946539541,True
sec_asia_range,"(415.13, 465.79]",161.0,0.39751552795031053,1.0802395704115197,9.759742888397245,True
sec_asia_range,"(465.79, 1757.62]",227.0,0.3744493392070485,1.1028099172187418,11.930267773400992,True
low,"(1046.23, 1122.839]",282.0,0.3120567375886525,0.9988926045307304,-0.0738036991102427,False
low,"(1122.839, 1167.43]",295.0,0.4033898305084746,1.43311851222716,31.6694653402746,False
low,"(1167.43, 1451.148]",304.0,0.35526315789473684,1.011280750531121,1.3483107695972576,False
low,"(1451.148, 1614.93]",161.0,0.39751552795031053,1.0802395704115197,9.759742888397245,False
low,"(1614.93, 2772.38]",227.0,0.3920704845814978,1.4784535395661789,54.968610948927335,False
high,"(1296.651, 1307.474]",261.0,0.3793103448275862,1.3147080532891249,23.343170572171854,False
high,"(1307.474, 1375.081]",316.0,0.34177215189873417,1.1537299658977098,10.21870921802235,False
high,"(1375.081, 2070.38]",304.0,0.3684210526315789,1.2821934018138421,33.4854946539541,False
high,"(2070.38, 2075.14]",146.0,0.3835616438356164,1.0520923530653883,5.6718988957340555,False
high,"(2075.14, 4530.0]",242.0,0.384297520661157,1.1149404384549004,14.261951036433098,False
open,"(1183.948, 1216.0]",275.0,0.3527272727272727,1.1433517623813472,16.002364715986914,False
open,"(1216.0, 1283.351]",322.0,0.39751552795031053,1.2840463140178118,18.004154258651692,False
open,"(1283.351, 1589.325]",284.0,0.31690140845070425,0.9817743146235254,-1.6423304999745187,False
open,"(1589.325, 1762.26]",161.0,0.39751552795031053,1.0802395704115197,9.759742888397245,False
open,"(1762.26, 2802.3]",227.0,0.3920704845814978,1.4784535395661789,54.968610948927335,False
ema_dist,"(-66.641, -15.799]",316.0,0.34177215189873417,1.1537299658977098,10.21870921802235,False
ema_dist,"(-15.799, 8.7]",261.0,0.3793103448275862,1.3147080532891249,23.343170572171854,False
ema_dist,"(8.7, 467.095]",304.0,0.3684210526315789,1.2821934018138421,33.4854946539541,False
ema_dist,"(467.095, 478.499]",146.0,0.3835616438356164,1.0520923530653883,5.6718988957340555,False
ema_dist,"(478.499, 2618.288]",242.0,0.384297520661157,1.1149404384549004,14.261951036433098,False
