Weekday,MonthNum,Month,Hour,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Friday,7,July,15,6.0,0.0,6.0,0.16666666666666666,-527.0,0.09605488850771869,-87.83333333333333
Saturday,7,July,13,1.0,0.0,1.0,0.0,-28.0,0.0,-28.0
Monday,8,August,13,7.0,0.0,7.0,0.14285714285714285,-159.0,0.8044280442804428,-22.714285714285715
Monday,8,August,14,6.0,0.0,6.0,0.16666666666666666,-639.0,0.14457831325301204,-106.5
Monday,8,August,15,10.0,0.0,10.0,0.3,-152.0,0.8085642317380353,-15.2
Tuesday,8,August,13,8.0,0.0,8.0,0.5,195.0,1.213347921225383,24.375
Tuesday,8,August,14,6.0,0.0,6.0,0.3333333333333333,352.0,2.5927601809954752,58.666666666666664
Tuesday,8,August,15,6.0,0.0,6.0,0.3333333333333333,-426.0,0.24199288256227758,-71.0
Wednesday,8,August,13,8.0,0.0,8.0,0.25,-377.0,0.7139605462822458,-47.125
Wednesday,8,August,14,8.0,0.0,8.0,0.5,469.0,1.8653136531365313,58.625
Wednesday,8,August,15,5.0,0.0,5.0,0.6,155.0,2.099290780141844,31.0
Thursday,8,August,13,9.0,0.0,9.0,0.3333333333333333,-56.0,0.9443892750744787,-6.222222222222222
Thursday,8,August,14,9.0,0.0,9.0,0.2222222222222222,-809.0,0.17868020304568527,-89.88888888888889
Thursday,8,August,15,9.0,0.0,9.0,0.5555555555555556,669.0,2.8792134831460676,74.33333333333333
Friday,8,August,13,6.0,0.0,6.0,0.8333333333333334,3113.0,22.76923076923077,518.8333333333334
Friday,8,August,14,1.0,0.0,1.0,0.0,-29.0,0.0,-29.0
Friday,8,August,15,5.0,0.0,5.0,0.0,-1028.0,0.0,-205.6
Monday,9,September,13,9.0,0.0,9.0,0.2222222222222222,-422.0,0.6885608856088561,-46.888888888888886
Monday,9,September,14,6.0,0.0,6.0,0.5,1597.0,4.705336426914153,266.1666666666667
Monday,9,September,15,8.0,0.0,8.0,0.625,124.0,1.5391304347826087,15.5
Tuesday,9,September,13,12.0,0.0,12.0,0.08333333333333333,-1252.0,0.49105691056910566,-104.33333333333333
Tuesday,9,September,14,9.0,0.0,9.0,0.2222222222222222,474.0,1.374703557312253,52.666666666666664
Tuesday,9,September,15,6.0,0.0,6.0,0.5,604.0,2.4079254079254078,100.66666666666667
Wednesday,9,September,13,4.0,0.0,4.0,0.0,-427.0,0.0,-106.75
Wednesday,9,September,14,6.0,0.0,6.0,0.8333333333333334,369.0,3.5985915492957745,61.5
Wednesday,9,September,15,7.0,0.0,7.0,0.42857142857142855,119.0,1.3043478260869565,17.0
Thursday,9,September,13,5.0,0.0,5.0,0.6,236.0,1.5031982942430704,47.2
Thursday,9,September,14,5.0,0.0,5.0,0.4,138.0,1.5036496350364963,27.6
Thursday,9,September,15,5.0,0.0,5.0,0.2,-554.0,0.17804154302670624,-110.8
Friday,9,September,13,6.0,0.0,6.0,0.3333333333333333,226.0,1.587012987012987,37.666666666666664
Friday,9,September,14,6.0,0.0,6.0,0.16666666666666666,-469.0,0.12825278810408922,-78.16666666666667
Friday,9,September,15,5.0,0.0,5.0,0.2,-57.0,0.8288288288288288,-11.4
Saturday,9,September,13,1.0,0.0,1.0,0.0,-76.0,0.0,-76.0
Monday,10,October,13,12.0,0.0,12.0,0.3333333333333333,-1192.0,0.34505494505494505,-99.33333333333333
Monday,10,October,14,7.0,0.0,7.0,0.2857142857142857,-356.0,0.5874855156431055,-50.857142857142854
Monday,10,October,15,8.0,0.0,8.0,0.5,577.0,2.0886792452830187,72.125
Tuesday,10,October,13,7.0,1.0,6.0,0.3333333333333333,710.0,2.719128329297821,101.42857142857143
Tuesday,10,October,14,5.0,0.0,5.0,0.6,273.0,1.3366214549938347,54.6
Tuesday,10,October,15,5.0,0.0,5.0,0.6,119.0,1.4075342465753424,23.8
Wednesday,10,October,13,5.0,0.0,5.0,0.2,2187.0,5.565762004175365,437.4
Wednesday,10,October,14,8.0,0.0,8.0,0.375,-93.0,0.85,-11.625
Wednesday,10,October,15,7.0,0.0,7.0,0.42857142857142855,246.0,1.4183673469387754,35.142857142857146
Thursday,10,October,13,12.0,0.0,12.0,0.3333333333333333,583.0,1.4645418326693227,48.583333333333336
Thursday,10,October,14,14.0,0.0,14.0,0.42857142857142855,464.0,1.3515151515151516,33.142857142857146
Thursday,10,October,15,10.0,0.0,10.0,0.6,158.0,1.2461059190031152,15.8
Friday,10,October,13,6.0,0.0,6.0,0.5,317.0,1.5969868173258004,52.833333333333336
Friday,10,October,14,2.0,0.0,2.0,0.5,163.0,1.8907103825136613,81.5
Friday,10,October,15,6.0,0.0,6.0,0.5,-502.0,0.41898148148148145,-83.66666666666667
Monday,11,November,13,9.0,0.0,9.0,0.3333333333333333,-391.0,0.6062437059415912,-43.44444444444444
Monday,11,November,14,5.0,0.0,5.0,0.0,-831.0,0.0,-166.2
Monday,11,November,15,4.0,0.0,4.0,0.25,-358.0,0.26789366053169733,-89.5
Tuesday,11,November,13,7.0,0.0,7.0,0.5714285714285714,179.0,1.4040632054176072,25.571428571428573
Tuesday,11,November,14,9.0,0.0,9.0,0.2222222222222222,-594.0,0.6063618290258449,-66.0
Tuesday,11,November,15,4.0,0.0,4.0,0.5,975.0,8.276119402985074,243.75
Wednesday,11,November,13,7.0,0.0,7.0,0.42857142857142855,-532.0,0.4674674674674675,-76.0
Wednesday,11,November,14,6.0,0.0,6.0,0.16666666666666666,-755.0,0.17305585980284777,-125.83333333333333
Wednesday,11,November,15,3.0,0.0,3.0,0.6666666666666666,-106.0,0.5907335907335908,-35.333333333333336
Thursday,11,November,13,5.0,0.0,5.0,0.0,-693.0,0.0,-138.6
Thursday,11,November,14,8.0,0.0,8.0,0.375,785.0,2.4483394833948338,98.125
