Date,Market,Result,Pip,Trend,Price 13:00,Price 16:00,Open Price
03-28-2019,XAUUSD,Loss,-105,Downtrend,,,
03-28-2019,XAUUSD,Profit,37,Downtrend,,,
04-01-2019,XAUUSD,Profit,251,Downtrend,,,
04-01-2019,XAUUSD,Loss,-80,Downtrend,,,
04-02-2019,XAUUSD,Loss,-38,Downtrend,,,
04-11-2019,XAUUSD,Profit,379,Downtrend,,,
04-12-2019,XAUUSD,Profit,72,Downtrend,,,
04-12-2019,XAUUSD,Loss,-19,Downtrend,,,
04-16-2019,XAUUSD,Profit,32,Downtrend,,,
04-18-2019,XAUUSD,Loss,-115,Downtrend,,,
04-18-2019,XAUUSD,Profit,89,Downtrend,,,
04-23-2019,XAUUSD,Profit,21,Downtrend,,,
05-02-2019,XAUUSD,Loss,-157,Downtrend,,,
05-03-2019,XAUUSD,Loss,-5,Downtrend,,,
05-09-2019,XAUUSD,Profit,74,Downtrend,,,
05-09-2019,XAUUSD,Loss,-101,Downtrend,,,
05-13-2019,XAUUSD,Loss,-118,Downtrend,,,
05-17-2019,XAUUSD,Profit,170,Downtrend,,,
05-20-2019,XAUUSD,Loss,-63,Downtrend,,,
05-28-2019,XAUUSD,Loss,-132,Downtrend,,,
05-28-2019,XAUUSD,Loss,-81,Downtrend,,,
06-10-2019,XAUUSD,Loss,-114,Downtrend,,,
06-10-2019,XAUUSD,Loss,-125,Downtrend,,,
06-17-2019,XAUUSD,Profit,219,Downtrend,,,
07-01-2019,XAUUSD,Loss,-15,Downtrend,,,
07-01-2019,XAUUSD,Profit,260,Downtrend,,,
07-02-2019,XAUUSD,Loss,-63,Downtrend,,,
07-09-2019,XAUUSD,Loss,-118,Downtrend,,,
07-10-2019,XAUUSD,Loss,-192,Downtrend,,,
07-12-2019,XAUUSD,Profit,47,Downtrend,,,
07-23-2019,XAUUSD,Profit,170,Downtrend,,,
08-01-2019,XAUUSD,Profit,8,Downtrend,,,
08-19-2019,XAUUSD,Loss,-30,Downtrend,,,
08-23-2019,XAUUSD,Loss,-320,Downtrend,,,
08-30-2019,XAUUSD,Loss,-262,Downtrend,,,
09-10-2019,XAUUSD,Loss,-172,Downtrend,,,
09-10-2019,XAUUSD,Loss,-217,Downtrend,,,
09-20-2019,XAUUSD,Profit,7,Downtrend,,,
09-26-2019,XAUUSD,Loss,-159,Downtrend,,,
09-27-2019,XAUUSD,Loss,-240,Downtrend,,,
09-30-2019,XAUUSD,Profit,1392,Downtrend,,,
10-01-2019,XAUUSD,Loss,-205,Downtrend,,,
10-09-2019,XAUUSD,Loss,-149,Downtrend,,,
10-11-2019,XAUUSD,Loss,-143,Downtrend,,,
10-16-2019,XAUUSD,Profit,240,Downtrend,,,
10-16-2019,XAUUSD,Loss,-108,Downtrend,,,
10-18-2019,XAUUSD,Loss,-33,Downtrend,,,
10-18-2019,XAUUSD,Loss,-112,Downtrend,,,
10-21-2019,XAUUSD,Profit,507,Downtrend,,,
10-29-2019,XAUUSD,Profit,107,Downtrend,,,
11-04-2019,XAUUSD,Profit,281,Downtrend,,,
11-05-2019,XAUUSD,Profit,102,Downtrend,,,
11-06-2019,XAUUSD,Loss,-197,Downtrend,,,
11-07-2019,XAUUSD,Profit,1873,Downtrend,,,
11-08-2019,XAUUSD,Loss,-87,Downtrend,,,
11-12-2019,XAUUSD,Profit,436,Downtrend,,,
11-19-2019,XAUUSD,Loss,-122,Downtrend,,,
11-21-2019,XAUUSD,Profit,157,Downtrend,,,
11-25-2019,XAUUSD,Profit,17,Downtrend,,,
11-26-2019,XAUUSD,Loss,-55,Downtrend,,,
11-27-2019,XAUUSD,Profit,122,Downtrend,,,
11-28-2019,XAUUSD,Loss,-66,Downtrend,,,
11-28-2019,XAUUSD,Profit,8,Downtrend,,,
11-29-2019,XAUUSD,Loss,-134,Downtrend,,,
12-02-2019,XAUUSD,Profit,14,Downtrend,,,
12-19-2019,XAUUSD,Loss,-76,Downtrend,,,
12-19-2019,XAUUSD,Loss,-102,Downtrend,,,
01-09-2020,XAUUSD,Loss,-120,Downtrend,,,
01-10-2020,XAUUSD,Loss,-424,Downtrend,,,
01-14-2020,XAUUSD,Loss,-92,Downtrend,,,
01-14-2020,XAUUSD,Loss,-117,Downtrend,,,
01-22-2020,XAUUSD,Profit,4,Downtrend,,,
01-23-2020,XAUUSD,Loss,-179,Downtrend,,,
01-23-2020,XAUUSD,Loss,-181,Downtrend,,,
01-29-2020,XAUUSD,Loss,-270,Downtrend,,,
02-03-2020,XAUUSD,Profit,334,Downtrend,,,
02-05-2020,XAUUSD,Loss,-163,Downtrend,,,
02-11-2020,XAUUSD,Profit,621,Downtrend,,,
02-12-2020,XAUUSD,Loss,-58,Downtrend,,,
02-17-2020,XAUUSD,Profit,26,Downtrend,,,
02-26-2020,XAUUSD,Profit,235,Downtrend,,,
02-28-2020,XAUUSD,Profit,3228,Downtrend,,,
03-10-2020,XAUUSD,Profit,532,Downtrend,,,
04-17-2020,XAUUSD,Profit,399,Downtrend,,,
04-17-2020,XAUUSD,Profit,130,Downtrend,,,
04-20-2020,XAUUSD,Loss,-219,Downtrend,,,
04-21-2020,XAUUSD,Loss,-139,Downtrend,,,
04-27-2020,XAUUSD,Loss,-102,Downtrend,,,
04-27-2020,XAUUSD,Profit,332,Downtrend,,,
04-27-2020,XAUUSD,Loss,-220,Downtrend,,,
04-28-2020,XAUUSD,Profit,1018,Downtrend,,,
04-29-2020,XAUUSD,Loss,-175,Downtrend,,,
05-01-2020,XAUUSD,Profit,27,Downtrend,,,
05-11-2020,XAUUSD,Profit,890,Downtrend,,,
