entry_time,exit_time,side,entry,exit,final_stop,pips
2020-05-18 13:41:00+00:00,2020-05-18 14:08:00+00:00,short,1743.51001,1738.1927316895967,1738.1927316895967,531.7278310403253
2020-05-20 13:49:00+00:00,2020-05-20 14:01:00+00:00,long,1748.14001,1749.1464813168018,1749.1464813168018,100.64713168017079
2020-05-20 14:57:00+00:00,2020-05-20 15:10:00+00:00,long,1747.089966,1745.8941030626754,1745.8941030626754,-119.58629373245913
2020-05-28 14:15:00+00:00,2020-05-28 14:33:00+00:00,long,1723.33997,1721.4396455133638,1721.4396455133638,-190.03244866362365
2020-05-28 15:46:00+00:00,2020-05-28 16:09:00+00:00,long,1722.98999,1722.9482980234557,1722.9482980234557,-4.169197654437085
2020-05-29 13:48:00+00:00,2020-05-29 14:01:00+00:00,short,1726.65002,1729.3843037251631,1729.3843037251631,-273.42837251630954
2020-05-29 15:25:00+00:00,2020-05-29 16:34:00+00:00,long,1734.53003,1734.2555937828295,1734.2555937828295,-27.443621717043243
2020-06-01 13:25:00+00:00,2020-06-01 13:52:00+00:00,long,1732.54004,1733.5691190512387,1733.5691190512387,102.90790512385684
2020-06-01 14:07:00+00:00,2020-06-01 15:49:00+00:00,long,1732.28003,1739.473909145674,1739.473909145674,719.3879145674146
2020-06-02 14:31:00+00:00,2020-06-02 14:52:00+00:00,short,1740.56006,1742.4143207619427,1742.4143207619427,-185.4260761942669
2020-06-02 14:54:00+00:00,2020-06-02 15:02:00+00:00,long,1740.68005,1739.3310333028262,1739.3310333028262,-134.9016697173738
2020-06-02 15:04:00+00:00,2020-06-02 16:43:00+00:00,short,1739.73999,1726.2257333218918,1726.2257333218918,1351.4256678108268
2020-06-09 13:52:00+00:00,2020-06-09 14:03:00+00:00,long,1718.57996,1716.32379561423,1716.32379561423,-225.61643857700346
2020-06-10 14:18:00+00:00,2020-06-10 14:31:00+00:00,long,1726.43005,1724.5034041259005,1724.5034041259005,-192.66458740994494
2020-06-10 14:33:00+00:00,2020-06-10 15:51:00+00:00,short,1723.089966,1717.47606021775,1717.47606021775,561.3905782249958
2020-06-11 15:46:00+00:00,2020-06-11 16:39:00+00:00,short,1736.28003,1734.111606350941,1734.111606350941,216.84236490589228
2020-06-12 14:53:00+00:00,2020-06-12 15:51:00+00:00,short,1737.89001,1735.8283049849013,1735.8283049849013,206.17050150988234
2020-06-12 15:53:00+00:00,2020-06-12 16:00:00+00:00,long,1735.71997,1733.5335004727806,1733.5335004727806,-218.6469527219515
2020-06-16 13:09:00+00:00,2020-06-16 13:25:00+00:00,short,1722.48999,1723.7653683342203,1723.7653683342203,-127.53783342202496
2020-06-16 13:36:00+00:00,2020-06-16 14:01:00+00:00,long,1723.55005,1721.372441811571,1721.372441811571,-217.7608188429076
